Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"openBrowser("""")",Chrome 100.0.4896.88,,,2022-04-14 23:57:44,2022-04-14 23:57:48,4.542s,PASSED
"navigateToUrl(""https://www.demoblaze.com/"")",Chrome 100.0.4896.88,,,2022-04-14 23:57:48,2022-04-14 23:57:50,1.343s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/a_Log in""))",Chrome 100.0.4896.88,,,2022-04-14 23:57:50,2022-04-14 23:57:52,2.106s,PASSED
"setText(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/input_Username_loginusername""), ""Ali12345"")",Chrome 100.0.4896.88,,,2022-04-14 23:57:52,2022-04-14 23:57:53,1.036s,PASSED
"setEncryptedText(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/input_Password_loginpassword""), ""T2f+EhbY9lxWCo62oSDqfg=="")",Chrome 100.0.4896.88,,,2022-04-14 23:57:53,2022-04-14 23:57:53,0.559s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/button_Log in""))",Chrome 100.0.4896.88,,,2022-04-14 23:57:53,2022-04-14 23:57:54,0.570s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/a_Phones""))",Chrome 100.0.4896.88,,,2022-04-14 23:57:54,2022-04-14 23:57:56,2.281s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/IPhone 6 32GB/Page_STORE/a_Iphone 6 32gb""))",Chrome 100.0.4896.88,,,2022-04-14 23:57:56,2022-04-14 23:57:58,1.910s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/IPhone 6 32GB/Page_STORE/a_Add to cart""))",Chrome 100.0.4896.88,,,2022-04-14 23:57:58,2022-04-14 23:57:59,1.252s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/a_Cart""))",Chrome 100.0.4896.88,,,2022-04-14 23:57:59,2022-04-14 23:58:01,1.385s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/button_Place Order""))",Chrome 100.0.4896.88,,,2022-04-14 23:58:01,2022-04-14 23:58:02,1.528s,PASSED
"setText(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/input_Name_name""), ""Ali"")",Chrome 100.0.4896.88,,,2022-04-14 23:58:02,2022-04-14 23:58:03,1.178s,PASSED
"setText(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/input_Country_country""), ""Malaysia"")",Chrome 100.0.4896.88,,,2022-04-14 23:58:03,2022-04-14 23:58:05,1.595s,PASSED
"setText(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/input_City_city""), ""Bayan Lepas"")",Chrome 100.0.4896.88,,,2022-04-14 23:58:05,2022-04-14 23:58:06,1.053s,PASSED
